layer,kv,win_primary,win3_primary,diffuse_primary,margin_3,margin_10,margin_25,margin_50,facility_3,kcenter_3,keydiff_cen_3,keydiff_unc_3,logdet_cen_3,facility_10,kcenter_10,keydiff_cen_10,keydiff_unc_10,logdet_cen_10,facility_25,kcenter_25,keydiff_cen_25,keydiff_unc_25,logdet_cen_25,facility_50,kcenter_50,keydiff_cen_50,keydiff_unc_50,logdet_cen_50,PR,spectral_tail,outlier_fraction,clusteredness
1,2,kcenter,kcenter,0,1.4458,0.0088,0.0106,0.0119,1.5105,0.0647,2.7058,0.0630,0.0683,0.0762,0.0850,2.6946,0.0837,0.0920,0.0898,0.1003,2.7033,0.0900,0.1082,0.0909,0.1028,2.8888,0.0848,0.0932,27.0588,0.9076,0.0032,0.0739
1,3,kcenter,kcenter,0,0.3698,0.0001,0.0018,0.0064,0.3813,0.0115,5.4268,0.0157,0.0119,0.0215,0.0214,4.4589,0.0381,0.0217,0.0438,0.0455,4.1256,0.0766,0.0351,0.0718,0.0654,0.1337,0.0802,0.0418,7.1430,0.7046,0.0164,0.2387
1,4,kcenter,kcenter,0,0.8658,0.0057,0.0073,0.0284,0.8799,0.0141,1.8884,0.0146,0.0123,0.0475,0.0532,1.8244,0.0459,0.0458,0.1032,0.1105,0.1228,0.0878,0.0877,0.4765,0.5048,0.4214,0.3200,0.3964,7.4336,0.7258,0.0542,0.2170
1,5,kcenter,kcenter,0,1.0652,0.0001,0.0005,0.0016,1.0802,0.0150,1.5499,0.0159,0.0153,0.0268,0.0266,1.5940,0.0252,0.0248,0.0423,0.0428,1.7663,0.0391,0.0376,0.0778,0.0794,0.0790,0.0708,0.0619,7.5179,0.7092,0.0140,0.2362
1,6,kcenter,kcenter,1,1.9098,0.0146,0.0039,0.0043,1.8556,-0.0542,3.4438,-0.0088,-0.0535,-0.0665,-0.0811,3.9875,0.0199,-0.0706,-0.0390,-0.0430,3.4929,0.0271,-0.0375,0.0412,0.0455,3.7897,0.0193,0.0025,16.0707,0.8473,0.0497,0.1227
1,7,kcenter,kcenter,0,0.6150,0.0101,0.0232,0.0114,0.7734,0.1584,1.8410,0.1870,0.1685,0.3303,0.3405,2.7702,0.4242,0.3715,0.3532,0.3764,0.6116,0.4648,0.4041,0.4609,0.4724,0.6311,0.4111,0.4375,4.6505,0.5963,0.0033,0.3133
2,0,kcenter,kcenter,0,0.8281,0.0006,0.0061,0.0246,0.8967,0.0686,2.2597,0.0581,0.0675,0.1143,0.1137,2.4566,0.0957,0.1288,0.1788,0.1849,2.9842,0.1478,0.1721,0.6165,0.6411,7.8537,0.4081,0.4526,44.1883,0.9406,0.0007,0.0426
2,1,kcenter,kcenter,0,1.2612,0.0011,0.0096,0.0140,1.2997,0.0385,2.7961,0.0256,0.0386,0.0670,0.0659,3.4636,0.0429,0.0550,0.1235,0.1331,4.8417,0.0751,0.1220,0.4973,0.5113,14.3244,0.3313,0.5899,32.8451,0.8868,0.0018,0.0930
2,2,kcenter,kcenter,0,1.1851,0.0137,0.0038,0.0024,1.1980,0.0128,3.4107,0.0099,0.0138,0.0386,0.0248,4.9051,0.0212,0.0226,0.0551,0.0514,5.9739,0.0468,0.0419,0.3665,0.3642,0.3965,0.2614,0.2676,27.2907,0.8547,0.0235,0.1184
2,3,kcenter,kcenter,0,0.0133,0.0177,0.0051,0.0116,0.0996,0.0863,2.0813,0.0430,0.0788,0.1610,0.1433,2.0984,0.0725,0.0855,0.2920,0.2971,0.1500,0.1256,0.1467,0.6033,0.6148,0.1921,0.1685,0.2073,15.3559,0.8121,0.0115,0.1419
2,4,kcenter,kcenter,0,1.1217,0.0471,0.1530,0.0835,1.2222,0.1005,2.0377,0.0548,0.0816,0.1656,0.2127,2.8281,0.1267,0.1377,0.3364,0.4894,1.3862,0.2866,0.2546,1.1079,1.1913,0.8457,0.7161,0.6842,31.6184,0.9101,0.0034,0.0665
2,5,facility,facility,0,0.2743,0.1599,0.0346,0.0315,1.3632,1.6376,2.0337,0.0916,0.0719,0.2887,0.1287,2.5501,0.1502,0.1394,0.1512,0.1858,3.0033,0.1959,0.1786,0.6234,0.6548,11.2113,0.5811,0.5050,33.0841,0.9502,0.0002,0.0345
2,6,kcenter,kcenter,0,0.3378,0.0343,0.0675,0.4587,0.3345,-0.0032,3.5728,0.0122,-0.0030,0.0414,0.0071,4.8363,0.0408,0.0378,0.1589,0.0914,12.3958,0.2173,0.2057,1.2413,0.7826,55.1046,1.1991,1.0967,29.3793,0.8665,0.0135,0.1077
2,7,kcenter,kcenter,0,1.0721,0.0029,0.0032,0.0075,1.0892,0.0171,2.0968,0.0136,0.0176,0.0423,0.0393,1.4838,0.0310,0.0307,0.0866,0.0898,0.0687,0.0601,0.0612,0.7456,0.7531,0.4942,0.4357,0.4753,25.7393,0.8591,0.0405,0.1116
